State,Capitol Address,Year Completed,Architect,Architectural Style,Approximate Size (sq ft),Dome Height,Trivia Fact,Latitude,Longitude
Alabama,"600 Dexter Ave, Montgomery, AL 36130",1851,Barachias Holt,Greek Revival,124000,240 ft,The dome was gilded with Alabama gold in 1993.,32.377716,-86.300568
Alaska,"120 4th St, Juneau, AK 99801",1931,James A. Wetmore,Art Deco,93000,,Originally built as a federal building and courthouse.,58.301598,-134.420212
Arizona,"1700 W Washington St, Phoenix, AZ 85007",1901,James Riely Gordon,Neoclassical,40000,Copper dome,The dome is topped with a copper-covered statue named Winged Victory.,33.448143,-112.097345
Arkansas,"500 Woodlane St, Little Rock, AR 72201",1915,George R. Mann,Neoclassical,150000,213 ft,Its design was inspired by the U.S. Capitol.,34.746613,-92.288986
California,"1315 10th St, Sacramento, CA 95814",1874,Reuben Clark,Neoclassical,340000,210 ft,The building survived multiple major earthquakes.,38.576668,-121.493629
Colorado,"200 E Colfax Ave, Denver, CO 80203",1908,Elijah E. Myers,Neoclassical,206000,180 ft,The dome is covered in real gold leaf from Colorado mines.,39.739227,-104.984856
Connecticut,"210 Capitol Ave, Hartford, CT 06106",1878,Richard M. Upjohn,High Victorian Gothic,540000,257 ft,The dome is crowned by a statue called The Genius of Connecticut.,41.764046,-72.682198
Delaware,"411 Legislative Ave, Dover, DE 19901",1933,William Gehron,Georgian Revival,85000,,Known as Legislative Hall rather than a capitol.,39.157307,-75.519722
Florida,"400 S Monroe St, Tallahassee, FL 32399",1977,Edward Durell Stone,Modernist,500000,22 stories,The old capitol still stands directly in front of it.,30.438118,-84.281296
Georgia,"206 Washington St SW, Atlanta, GA 30334",1889,Edbrooke and Burnham,Renaissance Revival,272000,272 ft,Its dome is covered in gold leaf from Dahlonega.,33.749027,-84.388229
Hawaii,"415 S Beretania St, Honolulu, HI 96813",1969,John Carl Warnecke,International Style,250000,Open-air,The building has no central dome due to Hawaii’s climate.,21.307442,-157.857376
Idaho,"700 W Jefferson St, Boise, ID 83702",1920,John E. Tourtellotte,Classical Revival,201000,208 ft,Built using sandstone from local quarries.,43.617775,-116.199722
Illinois,"401 S 2nd St, Springfield, IL 62706",1888,Alfred H. Piquenard,French Renaissance,405000,361 ft,It has the tallest non-municipal dome in the U.S.,39.798363,-89.654961
Indiana,"200 W Washington St, Indianapolis, IN 46204",1888,Edwin May,Renaissance Revival,240000,255 ft,The interior contains extensive Indiana limestone.,39.768623,-86.162643
Iowa,"1007 E Grand Ave, Des Moines, IA 50319",1886,John C. Cochrane,Renaissance Revival,315000,275 ft,One of only five state capitols with five domes.,41.591087,-93.603729
Kansas,"300 SW 10th Ave, Topeka, KS 66612",1903,E. Townsend Mix,Renaissance Revival,304000,304 ft,The murals depict controversial frontier scenes.,39.048191,-95.677956
Kentucky,"700 Capital Ave, Frankfort, KY 40601",1910,Frank Mills Andrews,Beaux-Arts,214000,210 ft,Built after the previous capitol governor was assassinated nearby.,38.186722,-84.875374
Louisiana,"900 N 3rd St, Baton Rouge, LA 70802",1932,"Weiss, Dreyfous & Seiferth",Art Deco,450000,450 ft tower,It is the tallest capitol building in the United States.,30.457069,-91.187393
Maine,"210 State St, Augusta, ME 04330",1832,Charles Bulfinch,Greek Revival,34000,185 ft,The statue atop the dome is called Minerva.,44.307167,-69.781693
Maryland,"100 State Cir, Annapolis, MD 21401",1779,Joseph Horatio Anderson,Georgian,108000,,It is the oldest state capitol still in legislative use.,38.978764,-76.490936
Massachusetts,"24 Beacon St, Boston, MA 02133",1798,Charles Bulfinch,Federal,300000,50 ft,Its golden dome was once made of wood shingles.,42.358894,-71.063629
Michigan,"100 N Capitol Ave, Lansing, MI 48933",1879,Elijah E. Myers,Italian Renaissance,187000,267 ft,Declared a National Historic Landmark in 1992.,42.733635,-84.555328
Minnesota,"75 Rev Dr Martin Luther King Jr Blvd, Saint Paul, MN 55155",1905,Cass Gilbert,Beaux-Arts,530000,220 ft,Modeled partly after St. Peter’s Basilica in Rome.,44.955097,-93.102211
Mississippi,"400 High St, Jackson, MS 39201",1903,Theodore Link,Beaux-Arts,171000,180 ft,"Mississippi is the only state whose eagle faces south. The others face Washington, D.C.",32.303848,-90.182106
Missouri,"201 W Capitol Ave, Jefferson City, MO 65101",1917,Tracy & Swartwout,Beaux-Arts,500000,238 ft,Features murals by Thomas Hart Benton.,38.579201,-92.172935
Montana,"1301 E 6th Ave, Helena, MT 59601",1902,Charles E. Bell,Greek Neoclassical,180000,,Constructed from Montana sandstone and granite.,46.585709,-112.018417
Nebraska,"1445 K St, Lincoln, NE 68508",1932,Bertram Goodhue,Art Deco,400000,400 ft tower,One of the first skyscraper-style capitols.,40.808075,-96.699654
Nevada,"101 N Carson St, Carson City, NV 89701",1871,Joseph Gosling,Italianate,50000,120 ft,Built using locally quarried sandstone.,39.163914,-119.766121
New Hampshire,"107 N Main St, Concord, NH 03301",1819,Stuart Park,Greek Revival,92000,181 ft,It is the oldest capitol where both chambers still meet in original rooms.,43.206898,-71.537994
New Jersey,"125 W State St, Trenton, NJ 08608",1792,Jonathan Doane,Georgian,215000,145 ft,One of the oldest continuously operating statehouses.,40.220596,-74.769913
New Mexico,"490 Old Santa Fe Trail, Santa Fe, NM 87501",1966,W.C. Kruger,New Mexico Territorial Revival,232000,,Known as the Roundhouse because of its circular design.,35.68224,-105.939728
New York,"State St and Washington Ave, Albany, NY 12224",1899,Multiple architects,Romanesque Revival,220000,,Construction took 32 years and cost over $25 million.,42.652843,-73.757874
North Carolina,"1 E Edenton St, Raleigh, NC 27601",1840,Ithiel Town,Greek Revival,83000,97 ft,A statue of George Washington stands in the rotunda.,35.78043,-78.639099
North Dakota,"600 E Boulevard Ave, Bismarck, ND 58505",1934,Joseph Bell DeRemer,Art Deco,210000,241 ft tower,Nicknamed the Skyscraper on the Prairie.,46.82085,-100.783318
Ohio,"1 Capitol Sq, Columbus, OH 43215",1861,Henry Walter,Greek Revival,125000,,One of the few capitols without a dome.,39.961346,-82.999069
Oklahoma,"2300 N Lincoln Blvd, Oklahoma City, OK 73105",1917,Solomon Layton,Neoclassical,400000,202 ft,The dome was not completed until 2002.,35.492207,-97.503342
Oregon,"900 Court St NE, Salem, OR 97301",1938,Francis Keally,Stripped Classical,400000,166 ft,Topped by the gold Oregon Pioneer statue.,44.938461,-123.030403
Pennsylvania,"501 N 3rd St, Harrisburg, PA 17120",1906,Joseph Miller Huston,Beaux-Arts,520000,272 ft,President Theodore Roosevelt called it the handsomest building in America.,40.264378,-76.883598
Rhode Island,"82 Smith St, Providence, RI 02903",1904,"McKim, Mead & White",Beaux-Arts,400000,278 ft,Its marble dome is the fourth largest self-supported dome in the world.,41.830914,-71.414963
South Carolina,"1100 Gervais St, Columbia, SC 29208",1907,Frank P. Milburn,Renaissance Revival,185000,180 ft,Six bronze stars mark where Union shells struck during the Civil War.,34.000343,-81.033211
South Dakota,"500 E Capitol Ave, Pierre, SD 57501",1910,Bell & Detweiler,Neoclassical,90000,190 ft,The terrazzo floors feature 30 types of marble.,44.368023,-100.351013
Tennessee,"600 Dr MLK Jr Blvd, Nashville, TN 37243",1859,William Strickland,Greek Revival,170000,,Architect William Strickland is buried within the capitol.,36.16581,-86.784241
Texas,"1100 Congress Ave, Austin, TX 78701",1888,Elijah E. Myers,Renaissance Revival,360000,302 ft,"It is taller than the U.S. Capitol in Washington, D.C.",30.27467,-97.740349
Utah,"350 State St, Salt Lake City, UT 84103",1916,Richard K.A. Kletting,Neoclassical,240000,285 ft,Recently underwent a major seismic retrofit.,40.777477,-111.888237
Vermont,"115 State St, Montpelier, VT 05633",1859,Thomas Silloway,Greek Revival,50000,135 ft,The gold dome is visible throughout Montpelier.,44.262436,-72.580536
Virginia,"1000 Bank St, Richmond, VA 23219",1788,Thomas Jefferson,Neoclassical,130000,,Designed with inspiration from an ancient Roman temple.,37.54073,-77.43335
Washington,"416 Sid Snyder Ave SW, Olympia, WA 98504",1928,Walter Wilder,Neoclassical,157000,287 ft,Its dome is among the tallest masonry domes in the world.,47.035805,-122.905014
West Virginia,"1900 Kanawha Blvd E, Charleston, WV 25305",1932,Cass Gilbert,Italian Renaissance,535000,292 ft,The dome is covered with 23.5-karat gold leaf.,38.336246,-81.612328
Wisconsin,"2 E Main St, Madison, WI 53703",1917,George B. Post,Beaux-Arts,484000,284 ft,The dome was inspired by St. Peter’s Basilica.,43.074684,-89.384445
Wyoming,"200 W 24th St, Cheyenne, WY 82002",1890,David W. Gibbs,Renaissance Revival,86000,146 ft,Its cornerstone was laid before Wyoming became a state.,41.140259,-104.820236